"","Blue","CloudMask","CloudMaskConfidence","FieldValue","Green","ImageDate","ImageName","Lake","MaxDepth","Method","NIR","Organization","Red","SWIR1","SWIR2","SampleDepth","SamplingDate","Sensor","StationID","AbsDiffInDays","Dataset"
"375",1394,1,1,8.6,1893,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",469,"UTAHDWQ",1278,244,218,-9999,2009-06-22,"LANDSAT/LT5_SR",4917520,8,"Calibration"
"376",1700,1,1,8.6,2099,2009-06-22,"LE70380322009173","Utah",-9999,"Chlorophyll-A (Colorimet)",680,"UTAHDWQ",1746,292,279,-9999,2009-06-22,"LANDSAT/LE7_SR",4917520,0,"Calibration"
"379",1414,1,1,11.1,1812,2009-06-22,"LE70380322009173","Utah",-9999,"Chlorophyll-A (Colorimet)",284,"UTAHDWQ",1296,36,14,-9999,2009-06-22,"LANDSAT/LE7_SR",4917310,0,"Calibration"
"381",902,1,1,15.4,1348,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",392,"UTAHDWQ",901,186,120,-9999,2009-06-22,"LANDSAT/LT5_SR",4917600,8,"Calibration"
"384",404,1,1,45,840,2009-06-30,"LT50380322009181","Utah",-9999,"Chlorophyll-A (Colorimet)",388,"UTAHDWQ",541,50,51,-9999,2009-06-22,"LANDSAT/LT5_SR",4917450,8,"Calibration"
"385",397,1,1,45,716,2009-06-22,"LE70380322009173","Utah",-9999,"Chlorophyll-A (Colorimet)",248,"UTAHDWQ",473,37,48,-9999,2009-06-22,"LANDSAT/LE7_SR",4917450,0,"Calibration"
"387",990,1,1,7,1304,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",297,"UTAHDWQ",834,76,53,-9999,2009-07-06,"LANDSAT/LT5_SR",4917520,10,"Calibration"
"388",1672,1,1,7,2020,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",659,"UTAHDWQ",1733,203,215,-9999,2009-07-06,"LANDSAT/LE7_SR",4917520,2,"Calibration"
"390",1286,1,1,8.9,1674,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",310,"UTAHDWQ",1061,59,55,-9999,2009-07-06,"LANDSAT/LT5_SR",4917500,10,"Calibration"
"391",1749,1,1,8.9,2132,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",915,"UTAHDWQ",1980,269,215,-9999,2009-07-06,"LANDSAT/LE7_SR",4917500,2,"Calibration"
"393",1246,1,1,10.9,1640,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",305,"UTAHDWQ",1112,34,55,-9999,2009-07-06,"LANDSAT/LT5_SR",4917370,10,"Calibration"
"394",1724,1,1,10.9,2106,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",951,"UTAHDWQ",1956,268,248,-9999,2009-07-06,"LANDSAT/LE7_SR",4917370,2,"Calibration"
"397",1595,1,1,13.1,1967,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",657,"UTAHDWQ",1660,268,248,-9999,2009-07-06,"LANDSAT/LE7_SR",4917310,2,"Calibration"
"399",780,1,1,14.8,1272,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",508,"UTAHDWQ",895,237,257,-9999,2009-07-06,"LANDSAT/LT5_SR",4917770,10,"Calibration"
"400",1121,1,1,14.8,1493,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",651,"UTAHDWQ",1260,330,280,-9999,2009-07-06,"LANDSAT/LE7_SR",4917770,2,"Calibration"
"402",1064,1,1,15.4,1473,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",272,"UTAHDWQ",921,34,55,-9999,2009-07-06,"LANDSAT/LT5_SR",4917390,10,"Calibration"
"403",1648,1,1,15.4,2030,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",651,"UTAHDWQ",1663,298,280,-9999,2009-07-06,"LANDSAT/LE7_SR",4917390,2,"Calibration"
"405",914,1,1,17.5,1340,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",369,"UTAHDWQ",975,77,20,-9999,2009-07-06,"LANDSAT/LT5_SR",4917600,10,"Calibration"
"406",1340,1,1,17.5,1724,2009-07-08,"LE70380322009189","Utah",-9999,"Chlorophyll-A (Colorimet)",1058,"UTAHDWQ",1665,297,247,-9999,2009-07-06,"LANDSAT/LE7_SR",4917600,2,"Calibration"
"408",377,1,1,113.4,667,2009-07-16,"LT50380322009197","Utah",-9999,"Chlorophyll-A (Colorimet)",441,"UTAHDWQ",456,58,88,-9999,2009-07-06,"LANDSAT/LT5_SR",4917450,10,"Calibration"
"410",896,1,1,22.5,1360,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",544,"UTAHDWQ",932,96,123,-9999,2009-08-03,"LANDSAT/LT5_SR",4917520,2,"Calibration"
"412",815,1,1,22.5,1229,2009-08-09,"LE70380322009221","Utah",-9999,"Chlorophyll-A (Colorimet)",482,"UTAHDWQ",843,98,46,-9999,2009-08-03,"LANDSAT/LE7_SR",4917520,6,"Calibration"
"413",719,1,1,35,1129,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",519,"UTAHDWQ",829,8,21,-9999,2009-08-03,"LANDSAT/LT5_SR",4917770,2,"Calibration"
"415",1044,1,1,35,1359,2009-08-09,"LE70380322009221","Utah",-9999,"Chlorophyll-A (Colorimet)",383,"UTAHDWQ",994,4,14,-9999,2009-08-03,"LANDSAT/LE7_SR",4917770,6,"Calibration"
"416",1110,1,1,35.5,1494,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",440,"UTAHDWQ",1102,27,53,-9999,2009-08-03,"LANDSAT/LT5_SR",4917370,2,"Calibration"
"421",1497,1,1,37.2,1857,2009-08-09,"LE70380322009221","Utah",-9999,"Chlorophyll-A (Colorimet)",676,"UTAHDWQ",1472,221,194,-9999,2009-08-03,"LANDSAT/LE7_SR",4917500,6,"Calibration"
"422",1010,1,1,57.9,1394,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",516,"UTAHDWQ",1048,53,89,-9999,2009-08-03,"LANDSAT/LT5_SR",4917310,2,"Calibration"
"425",605,1,1,104.6,1032,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",555,"UTAHDWQ",721,33,55,-9999,2009-08-03,"LANDSAT/LT5_SR",4917600,2,"Calibration"
"428",628,1,1,131.3,1055,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",543,"UTAHDWQ",622,96,52,-9999,2009-08-03,"LANDSAT/LT5_SR",4917390,2,"Calibration"
"430",1324,1,1,131.3,1722,2009-08-09,"LE70380322009221","Utah",-9999,"Chlorophyll-A (Colorimet)",381,"UTAHDWQ",1342,37,14,-9999,2009-08-03,"LANDSAT/LE7_SR",4917390,6,"Calibration"
"431",409,0,1,140.2,665,2009-08-01,"LT50380322009213","Utah",-9999,"Chlorophyll-A (Colorimet)",589,"UTAHDWQ",389,56,55,-9999,2009-08-03,"LANDSAT/LT5_SR",4917450,2,"Calibration"
"434",1079,1,1,4.1,1423,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",276,"UTAHDWQ",1076,33,21,-9999,2009-09-17,"LANDSAT/LT5_SR",4917310,1,"Calibration"
"435",1046,1,1,4.1,1404,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",358,"UTAHDWQ",1004,50,58,-9999,2009-09-17,"LANDSAT/LE7_SR",4917310,7,"Calibration"
"436",603,1,1,4.1,1029,2009-09-26,"LE70380322009269","Utah",-9999,"Chlorophyll-A (Colorimet)",386,"UTAHDWQ",552,13,20,-9999,2009-09-17,"LANDSAT/LE7_SR",4917310,9,"Calibration"
"437",1081,1,1,5,1423,2009-09-18,"LT50380322009261","Utah",-9999,"Chlorophyll-A (Colorimet)",259,"UTAHDWQ",1020,43,67,-9999,2009-09-17,"LANDSAT/LT5_SR",4917500,1,"Calibration"
"438",1157,1,1,5,1499,2009-09-10,"LE70380322009253","Utah",-9999,"Chlorophyll-A (Colorimet)",254,"UTAHDWQ",1015,60,62,-9999,2009-09-17,"LANDSAT/LE7_SR",4917500,7,"Calibration"
